stadium,region,capacity,AVG_CAPACITY
José Amalfitani Stadium,South America,49540,48653.370967742
Estadio Monumental Isidro Romero Carbo,South America,59283,48653.370967742
Estádio Estadual Jornalista Edgar Augusto Proença,South America,53645,48653.370967742
Estadio Monumental de Maturín,South America,51796,48653.370967742
Jawaharlal Nehru Stadium,South Asia,60000,51466.666666667
Salt Lake Stadium,South Asia,85000,51466.666666667
Morodok Techo National Stadium,Southeast Asia,75000,52626.347826087
Jakarta International Stadium,Southeast Asia,82000,52626.347826087
Phnom Penh Olympic Stadium,Southeast Asia,70000,52626.347826087
Gelora Bung Karno Main Stadium,Southeast Asia,77193,52626.347826087
Shah Alam Stadium,Southeast Asia,80372,52626.347826087
National Stadium,Southeast Asia,55000,52626.347826087
Bukit Jalil National Stadium,Southeast Asia,87411,52626.347826087
Naghsh-e-Jahan Stadium,West Asia,75000,57331.043478261
Jaber al-Ahmad International Stadium,West Asia,60000,57331.043478261
King Fahd International Stadium,West Asia,61781,57331.043478261
Lusail Stadium,West Asia,88966,57331.043478261
Al-Bayt Stadium,West Asia,60000,57331.043478261
Azadi Stadium,West Asia,78116,57331.043478261
Bakı Olimpiya stadionu,West Asia,69870,57331.043478261
Basra International Stadium,West Asia,65227,57331.043478261
King Abdullah Sports City Stadium,West Asia,68560,57331.043478261
Yadegar-e-Emam Stadium,West Asia,66833,57331.043478261
