region,AVG_CAPACITY
North America,68217.923076923
Oceania,64697.571428571
West Asia,57331.043478261
Europe,57041.577777778
Africa,55034.326923077
East Asia,53616.825396825
Southeast Asia,52626.347826087
South Asia,51466.666666667
South America,48653.370967742
