region,MOYENNE_CAPACITY,MEDIANE_CAPACITY,NOMBRE_ENREGISTREMENTS
North America,68217.923077,68107.000,52
Oceania,64697.571429,53500.000,7
West Asia,57331.043478,54208.000,23
Europe,57041.577778,54383.500,90
Africa,55034.326923,50000.000,52
East Asia,53616.825397,50000.000,63
Southeast Asia,52626.347826,45000.000,23
South Asia,51466.666667,50000.000,9
South America,48653.370968,45977.000,62
