region,MOYENNE_CAPACITY,MEDIANE_CAPACITY,NOMBRE_ENREGISTREMENTS
North America,68217.92307692,68107.00000,52
Oceania,64697.57142857,53500.00000,7
West Asia,57331.04347826,54208.00000,23
Europe,57041.57777778,54383.50000,90
Africa,55034.32692308,50000.00000,52
East Asia,53616.82539683,50000.00000,63
Southeast Asia,52626.34782609,45000.00000,23
South Asia,51466.66666667,50000.00000,9
South America,48653.37096774,45977.00000,62
