STADIUM,REGION,CAPACITY,AVG_CAPACITY
Estádio 11 de Novembro,"50,000",11,2.526316
June 11 Stadium,"50,000",11,2.526316
Stade du 26 Mars,"50,000",26,2.526316
Arena do Grêmio,"56,000",191956,95978.0
