rank,stadium,capacity,region,country,city,images,home_team,rank,stadium,capacity,region,country,city,images,home_team,altitude,longitude
21,Croke Park,82300.0,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Croke_park_all_ireland.jpg/220px-Croke_park_all_ireland.jpg,"Gaelic Athletic Association, Dublin GAA",21.0,21.0,0.0,"81,441",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02857214595469,-84.14460693585433
22,Jakarta International Stadium,82000.0,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Jakarta_International_Stadium_from_Toll_road.jpg/220px-Jakarta_International_Stadium_from_Toll_road.jpg,"Persija Jakarta, Indonesia national football team",22.0,22.0,0.0,"81,365",Europe,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,48.5171816,-2.7416429
23,FedExField,82000.0,North America,United States,"Landover, Maryland",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/FedexField2014.jpg/220px-FedexField2014.jpg,Washington Commanders,23.0,23.0,0.0,"81,338",Europe,France,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,48.8778129,2.3251049257032417
24,Lambeau Field,81441.0,North America,United States,"Green Bay, Wisconsin",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lambeau_Field_bowl.jpg/220px-Lambeau_Field_bowl.jpg,Green Bay Packers,24.0,24.0,0.0,"81,000",Europe,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,48.8778129,2.3251049257032417
25,Signal Iduna Park,81365.0,Europe,Germany,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Signal_iduna_park.jpg/220px-Signal_iduna_park.jpg,Borussia Dortmund,25.0,25.0,0.0,"80,372",Southeast Asia,Malaysia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,3.0900347000000004,101.63960842441477
26,Stade de France,81338.0,Europe,France,Saint-Denis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/StadeFranceNationsLeague2018.jpg/220px-StadeFranceNationsLeague2018.jpg,France national football team,26.0,26.0,0.0,"80,093",South America,Peru,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.027287870411214,-84.14672455931984
27,Estadio Santiago Bernabéu,81044.0,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Bernab%C3%A9u_despu%C3%A9s_de_la_reforma.jpg/220px-Bernab%C3%A9u_despu%C3%A9s_de_la_reforma.jpg,Real Madrid,27.0,27.0,0.0,"80,018",Europe,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,48.87772665,2.3256086360731647
28,Luzhniki Stadium,81000.0,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Luzhniki_Stadium2.jpg/220px-Luzhniki_Stadium2.jpg,,28.0,28.0,0.0,"80,012",East Asia,China,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,32.092650649999996,118.90791126769386
29,Shah Alam Stadium,80372.0,Southeast Asia,Malaysia,"Shah Alam, Selangor",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Shah_Alam_Stadium_%28inside%29.jpg/220px-Shah_Alam_Stadium_%28inside%29.jpg,Selangor FA,29.0,29.0,0.0,"80,000",East Asia,China,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,32.092650649999996,118.90791126769386
30,Estadio Monumental,80093.0,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/EstadioUniversitario.jpg/220px-EstadioUniversitario.jpg,Club Universitario de Deportes,30.0,30.0,0.0,"80,000",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.0285681616343,-84.14495115698877
31,Stadio Giuseppe Meazza,80018.0,Europe,Italy,"Milan, Lombardy",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg/220px-Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg,AC Milan and Internazionale,31.0,31.0,0.0,"80,000",Africa,DR Congo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,41.8246143,12.4764726
32,Guangdong Olympic Stadium,80012.0,East Asia,China,"Guangzhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Stade_Olympique_Guangdong.JPG/220px-Stade_Olympique_Guangdong.JPG,,32.0,32.0,0.0,"80,000",Africa,DR Congo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,41.824998750000006,12.477152816811186
33,Hangzhou Olympic Sports Expo Centre Stadium,80000.0,East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Hangzhou_Olympic_Sports_Center_Stadium2021.jpg/220px-Hangzhou_Olympic_Sports_Center_Stadium2021.jpg,,33.0,33.0,0.0,"80,000",Africa,Zimbabwe,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,40.4398099,-3.6551339244974876
34,AT&T Stadium,80000.0,North America,United States,"Arlington, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cowboys_Stadium_full_view.jpg/220px-Cowboys_Stadium_full_view.jpg,"Dallas Cowboys, FC Dallas",34.0,34.0,0.0,"80,000",Africa,Kenya,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,41.8248225,12.4768555
35,Stade des Martyrs,80000.0,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg/220px-Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg,Congo DR national football team and AS Vita Club,35.0,35.0,0.0,"80,000",East Asia,China,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,32.092650649999996,118.90791126769386
36,National Sports Stadium,80000.0,Africa,Zimbabwe,Harare,NO_IMAGE,Zimbabwe national football team,36.0,36.0,0.0,"80,000",Africa,Senegal,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,41.8248078,12.4766248
37,Moi International Sports Centre,80000.0,Africa,Kenya,Nairobi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Inside_the_Kasarani_Stadium.jpg/220px-Inside_the_Kasarani_Stadium.jpg,Kenya national football team,37.0,37.0,0.0,"78,838",South America,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02747560573822,-84.14608280151491
38,Stade Léopold Sédar Senghor,80000.0,Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg/220px-Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg,"Senegal national football team, ASC Jeanne d'Arc",38.0,38.0,0.0,"78,467",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02856462001617,-84.1452571313305
39,Maracanã Stadium,78838.0,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg/220px-Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg,"CR Flamengo, Fluminense FC, Botafogo FR, CR Vasco da Gama",39.0,39.0,0.0,"78,116",West Asia,Iran,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,41.9733116,-87.6587728
40,Los Angeles Memorial Coliseum,78467.0,North America,United States,"Los Angeles, California",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/USC_vs_University_of_Oregon_November_2019.png/220px-USC_vs_University_of_Oregon_November_2019.png,USC Trojans,40.0,40.0,0.0,"77,193",Southeast Asia,Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,3.0900347000000004,101.63960842441477
41,Azadi Stadium,78116.0,West Asia,Iran,Tehran,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Azadi_Stadium_%287%29.jpg/220px-Azadi_Stadium_%287%29.jpg,"Iran national football team, Esteghlal FC, Persepolis FC",41.0,41.0,0.0,"76,468",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02856329190937,-84.14537187170865
42,Gelora Bung Karno Main Stadium,77193.0,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Gbk_persija_arema_20190803.jpg/220px-Gbk_persija_arema_20190803.jpg,"Indonesia national football team,",42.0,42.0,0.0,"76,412",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.028562849207106,-84.14541011850136
43,Caesar's Superdome,76468.0,North America,United States,"New Orleans, Louisiana",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/The_Dome_New_Orleans_Man_Trip.jpg/220px-The_Dome_New_Orleans_Man_Trip.jpg,"New Orleans Saints, Sugar Bowl",43.0,43.0,0.0,"76,125",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02856240650484,-84.14544836529407
44,Arrowhead Stadium,76412.0,North America,United States,"Kansas City, Missouri",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg/220px-25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg,Kansas City Chiefs,44.0,44.0,0.0,"76,092",Europe,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,47.2601586,-1.5041042
45,Empower Field,76125.0,North America,United States,Denver,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg/220px-SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg,Denver Broncos,45.0,45.0,0.0,"76,000",Europe,England,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,47.9743413,2.7301518
46,Atatürk Olympic Stadium,76092.0,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg/220px-Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg,,46.0,46.0,0.0,"75,024",Europe,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,47.4229164,0.6844393
47,Old Trafford,76000.0,Europe,England,"Manchester, North West England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Manchester_United_old_trafford_Ank_Kumar_01.jpg/220px-Manchester_United_old_trafford_Ank_Kumar_01.jpg,Manchester United F.C.,47.0,47.0,0.0,"75,000",West Asia,Iran,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,41.9733116,-87.6587728
48,Allianz Arena,75024.0,Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Allainz_Arena_%28Bayern_Munich%29.jpg/220px-Allainz_Arena_%28Bayern_Munich%29.jpg,FC Bayern Munich,48.0,48.0,0.0,"74,867",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02856019299351,-84.14563959925765
49,Naghsh-e-Jahan Stadium,75000.0,West Asia,Iran,Isfahan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Naghsh_Jahan_Stadium.jpg/220px-Naghsh_Jahan_Stadium.jpg,Sepahan FC,49.0,49.0,0.0,"74,500",Europe,Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,47.486622,-0.5270751
50,Morodok Techo National Stadium,75000.0,Southeast Asia,Cambodia,Phnom Penh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Morodok_Techo_National_Stadium.jpg/220px-Morodok_Techo_National_Stadium.jpg,Cambodia national football team,50.0,50.0,0.0,"74,475",Europe,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,49.6456093,-1.5839619
51,Bank of America Stadium,74867.0,North America,United States,"Charlotte, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Bank_of_America_Stadium_soccer.jpg/220px-Bank_of_America_Stadium_soccer.jpg,"Charlotte FC, Carolina Panthers",51.0,51.0,0.0,"74,100",Africa,Egypt,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,54.05010815,-2.8204435073744785
52,Millennium Stadium,74500.0,Europe,Wales,Cardiff,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg/220px-Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg,Wales national football team,52.0,52.0,0.0,"73,200",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.028558422184446,-84.14579258642851
53,Olympiastadion,74475.0,Europe,Germany,Berlin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Berlin_Olympiastadion_nach_Umbau.jpg/220px-Berlin_Olympiastadion_nach_Umbau.jpg,Hertha BSC,53.0,53.0,0.0,"72,788",South America,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.027478132017514,-84.14546711116047
54,Cairo International Stadium,74100.0,Africa,Egypt,Cairo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Cairo_Stadium_Afcon_u23_2019.jpg/220px-Cairo_Stadium_Afcon_u23_2019.jpg,"Egypt national football team, Al Ahly, Zamalek",54.0,54.0,0.0,"72,698",Europe,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,48.6964825,5.905929231273408
55,FirstEnergy Stadium,73200.0,North America,United States,Cleveland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/FirstEnergy_Stadium_panorama_2016.jpg/220px-FirstEnergy_Stadium_panorama_2016.jpg,Cleveland Browns,55.0,55.0,0.0,"72,327",East Asia,Japan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,32.092650649999996,118.90791126769386
56,Estádio Nacional Mané Garrincha,72788.0,South America,Brazil,"Brasília, Distrito Federal",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg/220px-Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg,"Brasília FC, Legião FC",56.0,56.0,0.0,"72,220",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02855665137538,-84.14594557359938
57,Stadio Olimpico,72698.0,Europe,Italy,"Rome, Lazio",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg/220px-The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg,"A.S. Roma, S.S. Lazio",57.0,57.0,0.0,"72,000",East Asia,China,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,32.092650649999996,118.90791126769386
58,International Stadium Yokohama,72327.0,East Asia,Japan,"Yokohama, Kanagawa",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/International_Stadium_Yokohama-1.jpg/220px-International_Stadium_Yokohama-1.jpg,"Yokohama F. Marinos, Yokohama Eagles",58.0,58.0,0.0,"71,008",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02855576597086,-84.14602206718482
59,NRG Stadium,72220.0,North America,United States,"Houston, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/The_Texans_at_Reliant_Park_1_Jan_2012.jpg/220px-The_Texans_at_Reliant_Park_1_Jan_2012.jpg,"Houston Texans, Houston Dynamo FC",59.0,59.0,0.0,"71,000",North America,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,43.02855532326859,-84.14606031397753
60,Shanghai Stadium,72000.0,East Asia,China,Shanghai,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Shanghai_Stadium_2008.JPG/220px-Shanghai_Stadium_2008.JPG,Shanghai Shenhua,60.0,60.0,0.0,"70,692",Europe,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,49.441831,2.076448
61,M&T Bank Stadium,71008.0,North America,United States,Baltimore,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/M%26T_Bank_Stadium_USA_soccer.JPG/220px-M%26T_Bank_Stadium_USA_soccer.JPG,Baltimore Ravens,61.0,61.0,0.0,"70,000",Europe,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,47.4229164,0.6844393
